Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505997081,0.485804391,0.429949894,0.407981131,0.383292096,0.410021828,0.40514984,0.402215827,0.401381979,0.391652043,0.386673058,0.39375576,0.405233924,0.380728531,0.440397943,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,19.90750596,18.91440911,18.15896378,17.4824293,18.3198346,18.34434125,18.05107198,18.875071,18.46574712,19.79755636,20.48238397,20.37655149,21.11750342,21.1462857,19.13205365,18.77289506,19.61412672,18.84833084,17.45565804,15.83802552,16.06390135,14.98863791,14.61029326,14.1133573,13.76904278,13.29323519,13.01589149,13.22737955,14.04417656,13.28345974,13.6163949,13.93007599,13.42462521,13.40531478,13.53257922,13.57911251,13.56506378,12.73730416,12.59956826,13.18650829
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.62789186,37.41885544,29.72106714,31.11485491,28.63596858,30.10501136,24.89227001,29.29750105,26.21006854,23.74366399,24.39087363,22.81066274,22.13704137,20.63432272,25.74031404,26.42019908,22.04289675,25.77397074,27.01356077
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,18.97300265,19.9083118,20.62857702,21.95551845,21.89448765,22.09419518,24.25737219,26.22720179,24.79228366,24.37509468,24.15676436,23.75934042,24.68333556,25.72601842,26.05003047,26.60293672,27.15004315,27.64050758,25.99082025,22.85834532,25.05022544,33.15359444,31.08317512,26.34820042,26.1061864,23.98616128,23.70729291,24.50856167,25.29606125,23.43234661,21.99787215,21.65736468,20.595098,20.15096043,20.56203307,20.8976215,20.75743655,20.96724696,21.24579646,22.82631468
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,5.839549975,6.198384339,6.250876536,5.060402948,5.191280189,5.242278337,4.805339317,6.62119707,6.180293181,5.845680969,6.069630075,6.50749254,7.547056779,9.122534471,9.831168609,10.01699591,8.607741762,6.660703804,9.429772992
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.41070307,31.54334256,28.7855756,25.91887251,24.51536066,22.7161967,22.02517478,21.9782092,20.53745681,18.84525779,17.70839284,17.1536228,16.83708638,16.79438767,17.95584091,18.22676542,18.76679918,19.56517622,19.99015369,19.78022452,19.84997587,19.02214284,18.44093062,18.46337992,19.25209849
Andorra,AND,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,8.390047415,8.116827178,7.971353549,8.008430258,6.866160473,5.908350237,6.898649882,6.916506578,7.291303152,7.522796891,8.011480725,8.808788462,9.200230842,9.511214324,9.716781999,8.996320572,9.539948358,9.596388252,9.270270101,9.811924353,8.906931345,9.069387442,7.938877153,8.579177043,8.149549467,6.708921362,7.090386458,7.068200561,6.809701194,6.174051977,5.610127739,5.269138799,4.960980257,4.538656329,5.193256406,4.991790057,5.039528155,4.740155112,4.845904492,4.905773522,5.152295559,5.162848955,4.846675645,4.599254524,4.711113868,6.578974462
United Arab Emirates,ARE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,,,,,,,,,,,0.540188294,0.545088281,0.485156878,0.629067481,0.547223178,0.490602457,0.548306765,0.640366458,0.730600582,0.84247151,0.925826535,1.184524144,1.143229342,1.197735192,1.193025792,1.058428475,1.297768008,1.378621078,1.480901077,1.830425017,1.787068305,1.792431872,2.004021865,2.180890491,2.333245197,2.262650093,2.238200162,2.203322589,1.927683933,1.665361909,1.395409874,1.094244002,0.976671168,0.827305464,1.036886889,0.763452742,0.671910149,0.638882185,0.643763044,0.639504607,0.740999247,0.776054568,0.77054734,0.718738961,0.73084017,
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,,,,,,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.231622377,5.296472124,6.088397131,6.836080191
